L_Knee,R_Knee,accelerometer_right_foot_x,accelerometer_right_foot_y,accelerometer_right_foot_z,gyroscope_right_foot_x
2.24442503800445,3.69368329314584,-5392.0,-5136.0,14964.0,110.0
2.8634470098059097,3.9594511925998224,-5414.0628072131885,-5166.132518206518,14960.114458343132,112.64588406829718
3.666201475071289,4.4406996460019075,-5427.997011186318,-5175.999371478859,14963.999266527335,117.99842843882416
4.596668241309464,5.096555178021107,-5434.932926989588,-5172.867896227254,14959.891006353386,122.10249114906311
5.599291236871486,5.886219649645339,-5436.000869693197,-5164.00542886194,14932.026259622053,121.00293023649617
6.62391065662859,6.769770846446182,-5432.699537597963,-5155.910473241377,14881.375265896273,113.69501303785803
7.6270406098408845,7.709477804545093,-5428.003743298555,-5152.000815577465,14875.960153528802,110.99631848664845
8.578156285667387,8.674195843391216,-5424.782672007642,-5153.509118984342,14963.627569293598,121.00013597640343
9.457871018407848,9.638686904903615,-5423.999301156358,-5155.998803978039,15043.964144717502,128.99979314740813
10.25992774141917,10.584850838951935,-5425.678474716734,-5155.048830007137,15019.78934249254,121.15076964498651
10.988574944188304,11.501002276338143,-5427.997264829405,-5152.0046093065475,14956.07034339569,110.00930993460037
11.655295733823081,12.380251263208516,-5428.992962836726,-5149.806451339987,14936.422034722216,109.69454575077225
12.276211583454947,13.219878105266414,-5428.003667875943,-5151.990180536714,14955.947347797433,113.99504642446252
12.867350373451568,14.018746828401813,-5424.853959343826,-5158.723213226896,14985.53178382556,114.56392975717407
13.442360739456738,14.77648334210608,-5420.011191733561,-5156.027123353975,14988.049273851933,114.99475912972103
14.009297087750793,15.491571208019565,-5412.645470195684,-5134.815878591097,14941.897572467291,120.15744690062037
14.57098488428821,16.161135931436252,-5396.055887326328,-5120.0009704378,14896.054531288788,127.98160675790695
15.123250070179171,16.779985057791023,-5370.216684278281,-5136.137492428512,14897.78927643253,134.60838335523098
15.657806449558104,17.341559673944047,-5367.938878703961,-5171.89817291114,14915.97528927653,136.00678965142333
16.1626323635173,17.838101819300746,-5412.069736018785,-5205.330635448382,14916.388099470418,129.12699295480732
16.624976474017007,18.262109981222995,-5451.957404940528,-5208.066209350829,14931.884134435386,115.04952337232389
17.03252863404074,18.606897524331703,-5440.049292831603,-5165.867645074984,14989.925475226139,98.40827857294096
17.375844633234237,18.868137838292657,-5416.030268792391,-5128.044107806452,15028.0015273014,93.97594600114124
17.64869432531269,19.043919003657106,-5422.882009696448,-5140.161044271315,14989.85307658751,111.85400632996543
17.849041174982617,19.135411984043518,-5428.045448463817,-5167.939103495316,14936.109796467843,132.95152865965565
17.97874262282255,19.14682380337107,-5396.961385486042,-5171.273984881924,14931.250376970624,137.6532722568083
18.04254628012789,19.084742800034196,-5364.062285127346,-5167.983831209321,14936.046612632641,134.0105748901223
18.047609988659044,18.958116263437855,-5366.753364426109,-5179.670831497639,14908.311863779007,133.9734548404381
